field,type,label
form1[0].BodyPage6[0].P6_N5CFacilityZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage6[0].P6_N5CFacilityCountry_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage6[0].P6_N5CProgramType_FLD[0],text,TYPE OF PROGRAM
form1[0].BodyPage6[0].P6_N5CDateComp_FLD[0],text,Date Completed (or scheduled to be completed) MM/Y Y Y Y
form1[0].BodyPage6[0].P6_N5D_FLD[0],text,"5.D. What written language do you use every day in most situations (at home, work, school, in community, etc.)?"
form1[0].BodyPage6[0].P6_N5E_CB1[0],checkbox,"5.E. READING - In the language you identified in 5.D., can you read a simple message, such as a shopping list or short and simple notes? Yes"
form1[0].BodyPage6[0].P6_N5E_CB2[0],checkbox,No
form1[0].BodyPage6[0].P6_N5F_CB1[0],checkbox,"5.F. WRITING - In the language you identified in 5.D., can you write a simple message, such as a shopping list or short and simple notes? Yes"
form1[0].BodyPage6[0].P6_N5F_CB2[0],checkbox,No
form1[0].BodyPage6[0].P6_N6A_CB1[0],checkbox,"SECTION 6 - WORK HISTORY (If you need more space, use Section 11) 6.A. Did you have a job in the 5 years before you became unable to work because of your medical conditions? NO (Go to Section 7)"
form1[0].BodyPage6[0].P6_N6A_CB2[0],checkbox,YES (Complete the table below.)
form1[0].BodyPage6[0].P6_N6AJobTitle1_FLD[0],text,"List all the jobs you had in the 5 years before you became unable to work because of your medical conditions: • List your most recent job first • List all job titles even if they were for the same employer • Do not include jobs you held less than 30 calendar days • Include self-employment (e.g., ride share driver, hair stylist) • Include work in a foreign country Below is a table of 8 columns and 5 rows. The columns are labeled Job Title (e.g., Cashier), Type of Business (e.g., Grocery Store), Date Worked From MM/Y Y Y Y Date Worked To MM/Y Y Y Y, Hours Per Day, Days Per Week, Rate of Pay Amount, and Rate of Pay Frequency (per) hour, day, week, month, or year. 1. Job title (e.g., Cashier)"
form1[0].BodyPage6[0].P6_N6ABusType1_FLD[0],text,"Type of Business (e.g., Grocery Store)"
form1[0].BodyPage6[0].P6_N6AFrom1_FLD[0],text,dates worked from M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6ATo1_FLD[0],text,To M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6AHourPerDay1_FLD[0],text,Hours per day
form1[0].BodyPage6[0].P6_N6ADaysPerWk1_FLD[0],text,Days per week
form1[0].BodyPage6[0].P6_N6APayAmount1_FLD[0],text,Rate of pay Amount
form1[0].BodyPage6[0].P6_N6APayFreq1_FLD[0],text,"Rate of Pay Frequency (per) hour, day, week, month, or year"
form1[0].BodyPage6[0].P6_N6AJobTitle2_FLD[0],text,2. Job Title
form1[0].BodyPage6[0].P6_N6ABusType2_FLD[0],text,Type of Business
form1[0].BodyPage6[0].P6_N6AFrom2_FLD[0],text,dates worked from M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6ATo2_FLD[0],text,To M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6AHourPerDay2_FLD[0],text,Hours per day
form1[0].BodyPage6[0].P6_N6ADaysPerWk2_FLD[0],text,Days per week
form1[0].BodyPage6[0].P6_N6APayAmount2_FLD[0],text,Rate of pay Amount
form1[0].BodyPage6[0].P6_N6APayFreq2_FLD[0],text,Rate of Pay Frequency
form1[0].BodyPage6[0].P6_N6AJobTitle3_FLD[0],text,3. Job title
form1[0].BodyPage6[0].P6_N6ABusType3_FLD[0],text,type of business
form1[0].BodyPage6[0].P6_N6AFrom3_FLD[0],text,dates worked from M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6ATo3_FLD[0],text,To M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6AHourPerDay3_FLD[0],text,Hours per day
form1[0].BodyPage6[0].P6_N6ADaysPerWk3_FLD[0],text,Days per week
form1[0].BodyPage6[0].P6_N6APayAmount3_FLD[0],text,Rate of pay Amount
form1[0].BodyPage6[0].P6_N6APayFreq3_FLD[0],text,Rate of Pay Frequency
form1[0].BodyPage6[0].P6_N6AJobTitle4_FLD[0],text,4. Job title
form1[0].BodyPage6[0].P6_N6ABusType4_FLD[0],text,type of business
form1[0].BodyPage6[0].P6_N6AFrom4_FLD[0],text,dates worked from M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6ATo4_FLD[0],text,To M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6AHourPerDay4_FLD[0],text,Hours per day
form1[0].BodyPage6[0].P6_N6ADaysPerWk4_FLD[0],text,Days per week
form1[0].BodyPage6[0].P6_N6APayAmount4_FLD[0],text,Rate of pay Amount
form1[0].BodyPage6[0].P6_N6APayFreq4_FLD[0],text,Rate of Pay Frequency
form1[0].BodyPage6[0].P6_N6AJobTitle5_FLD[0],text,5. Job title
form1[0].BodyPage6[0].P6_N6ABusType5_FLD[0],text,type of business
form1[0].BodyPage6[0].P6_N6AFrom5_FLD[0],text,dates worked from M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6ATo5_FLD[0],text,To M M/Y Y Y Y
form1[0].BodyPage6[0].P6_N6AHourPerDay5_FLD[0],text,Hours per day
form1[0].BodyPage6[0].P6_N6ADaysPerWk5_FLD[0],text,Days per week
form1[0].BodyPage6[0].P6_N6APayAmount5_FLD[0],text,Rate of pay Amount
form1[0].BodyPage6[0].P6_N6APayFreq5_FLD[0],text,Rate of Pay Frequency
form1[0].Bodypage7[0].P7_Checkthebox_CB2[0],checkbox,"I had only one job. (If you had only one job, complete the questions in 6.B. through 6.D.)"
form1[0].Bodypage7[0].P7_N6B1_FLD[0],text,"6.B. Information about your work 6.B.1. For the job you listed in 6.Ay., describe in detail the tasks you did in a typical workday. Examples of tasks include stocking shelves, greeting customers, scheduling appointments, or maintaining records."
form1[0].Bodypage7[0].P7_N6B2_FLD[0],text,"6.B.2. If any of the tasks listed above involved writing or completing reports, describe the type of report you wrote or completed and how much time you spent on it per workday or workweek."
form1[0].Bodypage7[0].P7_N6B3_FLD[0],text,"6.B.3. If any of the tasks listed above involved supervising others, describe who or what you supervised and what supervisory duties you had. Examples of supervisory duties include evaluating employee job performance, making schedules, or maintaining time records."
form1[0].Bodypage7[0].P7_N6B4_FLD[0],text,"6.B.4. List the machines, tools, and equipment you used regularly when doing this job and explain what you used them for. Examples of equipment include computer, telephone, forklift, air compressor, or meat slicer."
